,participant_id,bigram,iki_ms_mean,iki_ms_std,keystroke_count,coeff_var
733,1488,re,204.0,108.68565419857133,8,0.532772814698879
740,1488,s ,114.27272727272727,15.10027091870148,11,0.13214238671894693
750,1488,t ,118.66666666666667,16.999108711038264,12,0.14325091610425503
755,1488,th,87.5,34.36568055487916,12,0.39275063491290474
756,1488,ti,146.9,76.50047203921177,10,0.5207656367543347
761,1488,u ,190.83333333333334,38.80936313142315,6,0.20336784173671518
788,1622, SHIFT,146.5,105.85131080907784,10,0.7225345447718624
789,1622, a,199.23076923076923,168.79531680221157,13,0.8472351808605214
791,1622, c,165.125,89.04483220747368,8,0.5392571216198254
796,1622, h,178.0,57.90879528559174,8,0.325330310593212
806,1622, s,208.66666666666666,99.18791470860967,12,0.4753414442904617
807,1622, t,182.93333333333334,123.29318522858237,15,0.6739787822262155
821,1622,BKSPBKSP,129.1875,14.506176845284445,16,0.11228777432247272
849,1622,SHIFTI,89.66666666666667,19.02279334552806,6,0.21215011166016423
866,1622,a ,91.42857142857143,28.564880201960953,7,0.3124283772089479
874,1622,ar,116.42857142857143,21.454270304200843,7,0.18426980629374956
891,1622,d ,133.0,83.24147317979696,8,0.625875738193962
898,1622,e ,101.5909090909091,27.065456970813575,22,0.26641613125633046
906,1622,en,101.71428571428571,30.45605733793244,7,0.29942753000776273
907,1622,er,145.66666666666666,54.37891748340221,6,0.3733106463391456
916,1622,g ,167.66666666666666,101.32061323672822,6,0.6042978920679616
924,1622,ha,102.0,32.50054944590497,8,0.3186328377049507
925,1622,he,106.18181818181819,23.361584628694096,11,0.22001492372913958
937,1622,in,62.875,10.315556906232175,8,0.16406452335955746
939,1622,is,152.8,95.9511449760878,10,0.6279525194770144
973,1622,ng,117.375,52.62790541691193,8,0.44837406105995253
977,1622,nt,120.14285714285714,33.233660503715065,7,0.27661786388347853
979,1622,o ,77.16666666666667,8.400396816024031,6,0.10886043390095936
985,1622,on,62.75,17.653409221531607,8,0.28132923062201765
988,1622,or,126.0,51.468436929831086,7,0.4084796581732626
1000,1622,r ,172.71428571428572,93.47141146845256,7,0.5411909679728436
1004,1622,re,190.25,22.758044103757502,8,0.11962178241134035
1014,1622,s ,116.58333333333333,42.09827967405737,12,0.3611003260104993
1026,1622,t ,114.83333333333333,37.107501487794444,6,0.3231422480794872
1031,1622,th,92.45454545454545,34.40163843878264,11,0.37209245115694106
1032,1622,ti,111.85714285714286,42.494817611204354,7,0.3799025840082126
1034,1622,to,83.42857142857143,37.12975959549224,7,0.445048488302133
1041,1622,ve,101.55555555555556,23.44200882556309,9,0.23082940856681378
1049,1622,y ,117.42857142857143,52.18830374345431,7,0.44442594428732385
1056,2270, a,243.6,182.73509319699457,15,0.7501440607429991
1064,2270, i,175.83333333333334,60.58520171350977,6,0.34456038889199864
1074,2270, t,175.26666666666668,76.52400805971816,15,0.4366147283742002
1090,2270,BKSPBKSP,163.1,140.13996971282359,10,0.8592272821141851
1159,2270,an,258.875,261.82297045359263,8,1.0113876212596529
1172,2270,d ,114.33333333333333,14.756354563373707,9,0.1290643256271753
1184,2270,e ,99.2,35.72644605006803,20,0.360145625504718
1198,2270,er,167.75,168.6863107325886,8,1.0055815840988889
1199,2270,es,343.6666666666667,158.5643928083057,6,0.46139008576616597
1212,2270,he,128.9,68.68680934340871,10,0.5328689630985936
1260,2270,nt,218.57142857142858,82.56281879647186,7,0.37773838665052484
1261,2270,o ,126.27272727272727,36.1001133214036,11,0.28589002630341226
1272,2270,or,158.83333333333334,45.38024533502068,6,0.2857098342183883
1275,2270,ou,122.0,38.02338461759786,10,0.3116670870294907
1289,2270,re,120.42857142857143,43.392999215914784,7,0.36032146442633867
1306,2270,st,316.7142857142857,182.22578877655627,7,0.5753633384916075
1308,2270,t ,114.91666666666667,65.2693138720895,12,0.5679708241226062
1313,2270,th,92.71428571428571,86.12338878166659,7,0.9289117434078061
1316,2270,to,138.2,111.61322104083867,10,0.8076209916124362
1344,2585, a,269.2857142857143,120.8186362162016,14,0.44866337056414385
1346,2585, c,206.5,104.32593157983302,6,0.5052103224204989
1348,2585, e,281.6666666666667,138.6371763513188,6,0.492202992963262
1352,2585, i,381.1111111111111,173.03427727219574,9,0.45402580042267104
1357,2585, o,618.4,258.1352789182878,10,0.41742444844483795
1362,2585, t,393.2173913043478,271.33088764990504,23,0.690027688627578
1365,2585, w,422.0,194.08331544296468,7,0.45991306977005847
1429,2585,an,172.0,78.83146579888007,6,0.45832247557488415
1459,2585,e ,135.83333333333334,30.593083885237778,30,0.22522515743733332
1461,2585,ea,315.0,185.95007010331716,8,0.5903176828676735
1469,2585,en,124.0,41.5485946126426,8,0.3350693113922791
1471,2585,er,218.83333333333334,34.13160802931304,6,0.1559707906899301
1491,2585,he,165.27777777777777,60.606547457937594,18,0.3666950770564292
1500,2585,in,274.0,215.64229640773166,11,0.7870156803201885
1502,2585,is,170.4,80.88840048692602,10,0.4746971859561386
1534,2585,n ,208.88235294117646,25.48990572986976,17,0.12202996266059869
1540,2585,ng,166.14285714285714,60.328071330651625,7,0.3631096296771809
1549,2585,o ,220.875,20.62894983823877,8,0.09339649049570468
1554,2585,on,198.85714285714286,25.79682520148924,7,0.12972541408794877
1557,2585,or,174.42857142857142,39.127386584748805,7,0.22431753160789653
1559,2585,ou,316.0,297.12825513572415,6,0.9402792884041903
1561,2585,ow,167.66666666666666,17.534727447743997,6,0.10458087941000396
1573,2585,re,413.42857142857144,391.5447429276579,7,0.9470674500668989
1583,2585,s ,162.28571428571428,38.357485622713895,14,0.23635774591461028
1592,2585,t ,205.0,49.82368914482347,6,0.2430423860723096
1596,2585,te,203.75,67.12408552183679,8,0.32944336452435236
1597,2585,th,131.875,47.15347283074704,16,0.3575618792852856
1600,2585,to,237.3,236.7253683068209,10,0.9975784589415124
1632,4596, BKSP,579.625,253.34727013669257,8,0.4370882383207981
1634,4596, a,332.26666666666665,260.55256301797937,15,0.7841670235292316
1635,4596, b,544.4285714285714,371.7296764867615,7,0.682788699923204
1650,4596, t,250.78571428571428,176.74152294824762,14,0.7047511595771765
1652,4596, w,204.66666666666666,114.68507604159603,6,0.5603505344051923
1653,4596, y,365.5,354.3697221829201,6,0.9695478035100413
1657,4596,. ,81.0,27.215191835933595,13,0.3359900226658469
1666,4596,BKSPBKSP,217.25,136.44731938642818,32,0.6280659120203829
1689,4596,SHIFTI,191.875,45.2025204733415,8,0.23558316859070488
1727,4596,d ,122.9,33.90001638806552,10,0.2758341447360904
1731,4596,e ,133.0952380952381,90.24738487175391,21,0.6780662190722118
1743,4596,er,102.75,18.382833607161096,8,0.17890835627407392
1751,4596,g ,83.1,22.31317498200957,10,0.2685099275813426
1762,4596,he,112.0,33.289364941101205,12,0.29722647268840363
1772,4596,in,153.06666666666666,100.75817348388925,15,0.6582633285097295
1775,4596,is,304.875,348.3956853513381,8,1.1427492754451434
1782,4596,l ,179.33333333333334,39.86811591568715,6,0.22231291402799525
1788,4596,li,234.83333333333334,266.0048245176517,6,1.1327387843193115
1789,4596,ll,149.85714285714286,13.082157969649241,7,0.08729752696620084
1799,4596,ng,258.3,362.5195933402159,10,1.4034827461874406
1816,4596,ou,117.5,140.36686625716607,8,1.1946116277205623
1831,4596,re,292.2857142857143,487.8390152108631,7,1.6690484391378504
1838,4596,s ,164.42857142857142,129.1057152657686,7,0.7851781119551522
1848,4596,t ,107.42857142857143,18.46489590960049,7,0.171880680009579
1854,4596,th,106.375,52.434823488648405,8,0.49292431011655374
1876,4596,y ,150.16666666666666,73.55111601238058,6,0.4897965550214023
1879,4596,yo,91.5,22.554378732299412,6,0.24649594242950176
1880,5113,,228.85714285714286,98.82548350742428,7,0.4318217132034769
1894,5113,SHIFTTAB73,140.33333333333334,21.987875446860855,6,0.1566831979586284
1904,5113,TAB190TAB32,132.2,36.890184524961576,15,0.27904829443995144
1909,5113,TAB32SHIFT,257.90909090909093,72.91289946978456,11,0.2827077526146035
1910,5113,TAB32TAB65,290.25,222.48836245649215,8,0.766540439126588
1916,5113,TAB32TAB72,363.1111111111111,203.66666666666666,9,0.5608935128518971
1917,5113,TAB32TAB73,281.2857142857143,64.46889246169889,7,0.22919362480035155
1922,5113,TAB32TAB79,326.57142857142856,174.75016179568775,7,0.5351054823140045
1925,5113,TAB32TAB83,319.2,239.2654499829751,10,0.749578477390273
1926,5113,TAB32TAB84,224.73684210526315,123.19534718182932,19,0.5481760179050954
1959,5113,TAB68TAB32,145.0,13.241349377360804,7,0.09131965087835037
1970,5113,TAB69TAB32,166.11111111111111,79.55178929155007,27,0.47890709272505055
1979,5113,TAB69TAB82,189.2,140.04903903038155,10,0.7402169081944057
2002,5113,TAB72TAB69,150.5,40.03988396202351,14,0.26604574061145186
2003,5113,TAB72TAB73,238.16666666666666,57.97729440622999,6,0.24343160702405875
2016,5113,TAB73TAB78,179.83333333333334,253.99421372555048,12,1.4123867306332742
2044,5113,TAB78TAB32,230.25,12.925611342270376,8,0.05613729138879642
2054,5113,TAB79TAB32,201.28571428571428,23.949351318384984,7,0.11898187312185585
2061,5113,TAB79TAB78,188.25,206.333814138989,8,1.096062757710433
2066,5113,TAB79TAB85,126.28571428571429,28.929306281083925,7,0.22907821715790436
2074,5113,TAB82TAB32,245.44444444444446,222.37137355733938,9,0.9059947315600065
2087,5113,TAB83TAB32,190.30769230769232,89.67105127016988,13,0.4711898409507714
2090,5113,TAB83TAB69,256.0,60.04331769647643,6,0.23454420975186105
2098,5113,TAB84TAB32,284.0769230769231,340.39400247812375,13,1.1982458792893607
2101,5113,TAB84TAB72,152.4,25.55330562904589,15,0.16767260911447435
2103,5113,TAB84TAB79,137.85714285714286,43.06749962337637,7,0.31240673301931043
2127,5113,TAB89TAB32,201.33333333333334,28.758766779308647,6,0.14284155685087077
2134,5360, a,232.375,140.93254465472887,8,0.6064875509617165
2141,5360, h,247.83333333333334,131.2484920548296,6,0.5295836935635356
2142,5360, i,141.85714285714286,25.25489108686719,7,0.17803045076341423
2146,5360, m,187.11111111111111,107.86733106511494,9,0.576488111393132
2148,5360, o,308.14285714285717,229.37990944531927,7,0.7443946991734978
2149,5360, p,179.14285714285714,48.957221365285065,7,0.27328592468659924
2152,5360, t,281.6923076923077,170.95778456263437,13,0.6068954667706846
